city;month;avg_mth_en_consumption_house_kwh;energy_price_eur_kwh;solar_panel_brand;solar_panel_power_kwh;solar_panel_efficiency_%
amsterdam;1;326;0.0595;jinko_solar;405;0.8
amsterdam;2;283;0.0595;jinko_solar;405;0.8
amsterdam;3;285;0.0595;jinko_solar;405;0.8
amsterdam;4;267;0.0595;jinko_solar;405;0.8
amsterdam;5;274;0.0595;jinko_solar;405;0.8
amsterdam;6;289;0.0595;jinko_solar;405;0.8
amsterdam;7;310;0.0595;jinko_solar;405;0.8
amsterdam;8;320;0.0595;jinko_solar;405;0.8
amsterdam;9;299;0.0595;jinko_solar;405;0.8
amsterdam;10;308;0.0595;jinko_solar;405;0.8
amsterdam;11;329;0.0595;jinko_solar;405;0.8
amsterdam;12;342;0.0595;jinko_solar;405;0.8
athens;1;287;0.2950;jinko_solar;405;0.8
athens;2;287;0.2950;jinko_solar;405;0.8
athens;3;308;0.2950;jinko_solar;405;0.8
athens;4;333;0.2950;jinko_solar;405;0.8
athens;5;364;0.2950;jinko_solar;405;0.8
athens;6;401;0.2950;jinko_solar;405;0.8
athens;7;456;0.2950;jinko_solar;405;0.8
athens;8;442;0.2950;jinko_solar;405;0.8
athens;9;372;0.2950;jinko_solar;405;0.8
athens;10;330;0.2950;jinko_solar;405;0.8
athens;11;291;0.2950;jinko_solar;405;0.8
athens;12;279;0.2950;jinko_solar;405;0.8
belgrade;1;260;0.0617;jinko_solar;405;0.8
belgrade;2;244;0.0617;jinko_solar;405;0.8
belgrade;3;274;0.0617;jinko_solar;405;0.8
belgrade;4;315;0.0617;jinko_solar;405;0.8
belgrade;5;352;0.0617;jinko_solar;405;0.8
belgrade;6;376;0.0617;jinko_solar;405;0.8
belgrade;7;398;0.0617;jinko_solar;405;0.8
belgrade;8;370;0.0617;jinko_solar;405;0.8
belgrade;9;323;0.0617;jinko_solar;405;0.8
belgrade;10;306;0.0617;jinko_solar;405;0.8
belgrade;11;276;0.0617;jinko_solar;405;0.8
belgrade;12;260;0.0617;jinko_solar;405;0.8
berlin;1;395;0.233;jinko_solar;405;0.8
berlin;2;348;0.233;jinko_solar;405;0.8
berlin;3;354;0.233;jinko_solar;405;0.8
berlin;4;327;0.233;jinko_solar;405;0.8
berlin;5;353;0.233;jinko_solar;405;0.8
berlin;6;387;0.233;jinko_solar;405;0.8
berlin;7;408;0.233;jinko_solar;405;0.8
berlin;8;391;0.233;jinko_solar;405;0.8
berlin;9;346;0.233;jinko_solar;405;0.8
berlin;10;358;0.233;jinko_solar;405;0.8
berlin;11;401;0.233;jinko_solar;405;0.8
berlin;12;424;0.233;jinko_solar;405;0.8
bern;1;483;0.222;jinko_solar;405;0.8
bern;2;452;0.222;jinko_solar;405;0.8
bern;3;422;0.222;jinko_solar;405;0.8
bern;4;362;0.222;jinko_solar;405;0.8
bern;5;367;0.222;jinko_solar;405;0.8
bern;6;392;0.222;jinko_solar;405;0.8
bern;7;410;0.222;jinko_solar;405;0.8
bern;8;387;0.222;jinko_solar;405;0.8
bern;9;370;0.222;jinko_solar;405;0.8
bern;10;437;0.222;jinko_solar;405;0.8
bern;11;468;0.222;jinko_solar;405;0.8
bern;12;452;0.222;jinko_solar;405;0.8
brussels;1;390;0.3791;jinko_solar;405;0.8
brussels;2;347;0.3791;jinko_solar;405;0.8
