,country,month,latitude,longitude,hours_of_sun,temp,humidity,precip,cloudcover,avg_mth_en_consumption_house_kwh,energy_price_eur_kwh,solar_panel_power_kwh,monthly_energy_produced_kwh,montlhy_energy_cost_eur,montlhy_solar_panel_cost_saved,money_saved,solar_panel_price,years_to_pay_the_solar_panel,solar_panel_life_cycle,years_after_beeing_paid,number_of_solar_panels_to_cover_electricity_needs,Amount_you_can_make_selling_energy
0,albania,6.5,41.322,19.825,371.3757407407407,16.78979710701485,66.08458845366103,2.8258850614439326,46.192275345622114,354.25,0.081,405.0,80.73604373049037,28.69425,6.53961954216972,22.416666666666668,700.0,10.083403368293665,30,19.916596631706334,4.0,19295.846599439756
1,austria,6.5,48.203,16.368,372.5737962962963,13.256246159754225,62.97309523809523,1.1473257040450588,59.026910522273425,503.0,0.206,405.0,63.31418782203914,103.618,13.04272269134006,12.416666666666666,700.0,5.598062903628076,30,24.401937096371924,8.0,18539.865942495315
2,belarus,6.5,53.904,27.566,374.05185185185184,7.285460829493087,79.27897017409114,1.4258715612344643,59.09162122375832,374.3333333333333,0.056,405.0,69.27978396734703,20.962666666666667,3.879667902171434,17.333333333333332,700.0,38.743848104423115,30,-8.743848104423115,5.0,-7269.262892612763
3,belgium,6.5,50.844,4.356,373.18402777777777,12.153197644649255,74.62540322580645,1.7941428507424473,60.15650985663083,357.0,0.3791,405.0,62.75796295642121,135.3387,23.79154375677928,17.833333333333332,700.0,3.3521643312098006,30,26.6478356687902,6.0,20068.366605248822
4,bosnia and herzegovina,6.5,43.859,18.436,371.7653935185185,11.696709549411162,69.59358998975934,2.1961928187403994,57.08011712749616,350.5,0.071,405.0,66.03209192360669,24.885499999999997,4.688278526576074,18.166666666666668,700.0,15.800342299410303,30,14.199657700589697,5.0,11251.59723082906
5,bulgaria,6.5,42.697,23.324,371.5806944444444,11.122157578084996,70.89105222734254,1.6108085573476705,47.73628968253968,322.1666666666667,0.09300000000000001,405.0,79.52932953466667,29.9615,7.396227646724,24.083333333333332,700.0,9.062262697322604,30,20.937737302677398,4.0,19981.970515858964
6,croatia,6.5,45.806999999999995,15.967999999999998,372.1027546296296,13.488043394777264,70.41451484895033,2.2001346966205837,53.80246159754225,404.25,0.117,405.0,70.73685789843834,47.29725,8.276212374117287,17.25,700.0,9.225902823075037,30,20.77409717692496,6.0,17633.932319669882
7,czech republic,6.5,50.079,14.433,372.99613425925924,10.987383512544802,69.5960803891449,1.6589343766001026,68.54816564260112,316.8333333333333,0.3605,405.0,49.3819771797316,114.21841666666667,17.802202773293242,15.833333333333334,700.0,4.768380303905674,30,25.231619696094327,6.0,14951.847216482358
8,denmark,6.5,55.67600000000001,12.568,374.6631481481482,10.056616743471581,77.96058179723502,1.3926533602150537,62.40406169994879,408.25,0.363,405.0,59.56099484841607,148.19475,21.62064112997503,14.833333333333334,700.0,3.843423426944278,30,26.156576573055723,7.0,18694.94067023967
9,estonia,6.5,59.436,24.753,376.3847685185185,7.112779697900666,78.89525025601638,1.2951402201740911,57.803161802355355,492.4166666666667,0.2085,405.0,72.9110975891549,102.668875,15.201963847338797,14.166666666666666,700.0,8.959031433908068,30,21.040968566091934,7.0,18409.44134991204
